user_id,book_id,book_title,rating
Mario the lone bookwolf,61215351,The Fellowship of the Ring,5
Carolyn Marie,61215351,The Fellowship of the Ring,5
Jack Edwards,61215351,The Fellowship of the Ring,2
Tharindu Dissanayake,61215351,The Fellowship of the Ring,5
Will Byrnes,61215351,The Fellowship of the Ring,5
Jaime Fok,61215351,The Fellowship of the Ring,5
Michael Finocchiaro,61215351,The Fellowship of the Ring,5
Andy Marr,61215351,The Fellowship of the Ring,3
Jason Koivu,61215351,The Fellowship of the Ring,5
Jeffrey Keeten,4934,The Brothers Karamazov,5
Vit Babenco,4934,The Brothers Karamazov,5
Kevin Ansbro,4934,The Brothers Karamazov,5
Paul Bryant,4934,The Brothers Karamazov,5
Violet wells,4934,The Brothers Karamazov,5
Valeriu Gherghel,4934,The Brothers Karamazov,5
Ilenia Zodiaco,4934,The Brothers Karamazov,5
Michael Finocchiaro,4934,The Brothers Karamazov,5
Riku Sayuj,4934,The Brothers Karamazov,5
Steven Medina,4934,The Brothers Karamazov,4
Samra Yusuf,4934,The Brothers Karamazov,5
Tom Quinn,4934,The Brothers Karamazov,3
jessica yeung,10917,My Sister's Keeper,2
Nola Tillman,10917,My Sister's Keeper,4
Nilufer Ozmekik,10917,My Sister's Keeper,5
Sharon Orlopp,10917,My Sister's Keeper,4
Wendy Darling,10917,My Sister's Keeper,1
Elyse Walters,10917,My Sister's Keeper,5
Taufiq Yves,10917,My Sister's Keeper,4
Paul Weiss,10917,My Sister's Keeper,5
Phyllis Eisenstadt,10917,My Sister's Keeper,5
Daniel Middlewood,29908754,The Zombie Room,5
George King,29908754,The Zombie Room,5
Christina Wood,29908754,The Zombie Room,5
Julie Barrett,29908754,The Zombie Room,4
Mark G,29908754,The Zombie Room,5
Dan Eccleston,29908754,The Zombie Room,3
Martin Sharp,29908754,The Zombie Room,5
Amanda Turner,29908754,The Zombie Room,5
David Berkowitz,29908754,The Zombie Room,4
Kev Laws,29908754,The Zombie Room,5
Deandra Rask,29908754,The Zombie Room,5
Ebooks Rock,29908754,The Zombie Room,5
Kindle Crazy,29908754,The Zombie Room,5
Ellie Douglas,29908754,The Zombie Room,5
Roxie Voorhees,29908754,The Zombie Room,1
Tara Beckwith,29908754,The Zombie Room,1
Kelsey Rivers,29908754,The Zombie Room,1
Imaan Iddir,29908754,The Zombie Room,1
Miranda Reads,2654,To Kill a Mockingbird,5
Lisa of Troy,2654,To Kill a Mockingbird,5
Eddy Allen,2654,To Kill a Mockingbird,1
Petra X,2654,To Kill a Mockingbird,5
Taufiq Yves,2654,To Kill a Mockingbird,5
Henry Avila,2654,To Kill a Mockingbird,5
Sean Barrs,2654,To Kill a Mockingbird,5
Mario the lone bookwolf,2654,To Kill a Mockingbird,5
Tim Null,2654,To Kill a Mockingbird,5
Luca Ambrosino,2654,To Kill a Mockingbird,5
Colin Baldwin,2654,To Kill a Mockingbird,5
Peter Derk,14891,A Tree Grows in Brooklyn,1
Rinda Elwakil,14891,A Tree Grows in Brooklyn,5
Julie G,14891,A Tree Grows in Brooklyn,5
Lisa of Troy,14891,A Tree Grows in Brooklyn,2
Blake Crouch,14891,A Tree Grows in Brooklyn,5
Sherif Metwaly,14891,A Tree Grows in Brooklyn,5
Glenn Russell,6288,The Road,5
Sean Barrs,6288,The Road,4
Leonard Gaya,6288,The Road,4
Will Byrnes,6288,The Road,5
Henry Avila,6288,The Road,4
Dave Schaafsma,6288,The Road,5
Emily May,19288043,Gone Girl,3
Paul Bryant,19288043,Gone Girl,1
Miranda Reads,19288043,Gone Girl,4
Stephanie Sun,19288043,Gone Girl,2
Nicholas Sparks,19288043,Gone Girl,5
reading is my hustle,19288043,Gone Girl,2
Whitney Atkinson,19288043,Gone Girl,4
Richard Derus,19288043,Gone Girl,1
